44   tensor(0.5279, grad_fn=<NllLossBackward>)
[7,    45] loss: 0.579
45   tensor(0.6293, grad_fn=<NllLossBackward>)
46   tensor(0.6965, grad_fn=<NllLossBackward>)
47   tensor(0.6521, grad_fn=<NllLossBackward>)
48   tensor(0.5894, grad_fn=<NllLossBackward>)
49   tensor(0.5788, grad_fn=<NllLossBackward>)
[7,    50] loss: 0.629
50   tensor(0.5194, grad_fn=<NllLossBackward>)
51   tensor(0.6167, grad_fn=<NllLossBackward>)
52   tensor(0.6869, grad_fn=<NllLossBackward>)
53   tensor(0.5934, grad_fn=<NllLossBackward>)
54   tensor(0.5934, grad_fn=<NllLossBackward>)
[7,    55] loss: 0.602
55   tensor(0.5910, grad_fn=<NllLossBackward>)
56   tensor(0.4941, grad_fn=<NllLossBackward>)
0   tensor(0.7924, grad_fn=<NllLossBackward>)
1   tensor(0.4845, grad_fn=<NllLossBackward>)
2   tensor(0.5847, grad_fn=<NllLossBackward>)
3   tensor(0.5400, grad_fn=<NllLossBackward>)
4   tensor(0.5323, grad_fn=<NllLossBackward>)
[8,     5] loss: 0.587
5   tensor(0.5108, grad_fn=<NllLossBackward>)
6   tensor(0.6373, grad_fn=<NllLossBackward>)
7   tensor(0.5732, grad_fn=<NllLossBackward>)
8   tensor(0.7553, grad_fn=<NllLossBackward>)
9   tensor(0.5804, grad_fn=<NllLossBackward>)
[8,    10] loss: 0.611
10   tensor(0.6415, grad_fn=<NllLossBackward>)
11   tensor(0.5897, grad_fn=<NllLossBackward>)
12   tensor(0.5949, grad_fn=<NllLossBackward>)
13   tensor(0.5301, grad_fn=<NllLossBackward>)
14   tensor(0.5980, grad_fn=<NllLossBackward>)
[8,    15] loss: 0.591
15   tensor(0.5574, grad_fn=<NllLossBackward>)
16   tensor(0.5434, grad_fn=<NllLossBackward>)
17   tensor(0.6539, grad_fn=<NllLossBackward>)
18   tensor(0.6259, grad_fn=<NllLossBackward>)
19   tensor(0.4790, grad_fn=<NllLossBackward>)
[8,    20] loss: 0.572
20   tensor(0.5157, grad_fn=<NllLossBackward>)
21   tensor(0.5644, grad_fn=<NllLossBackward>)
22   tensor(0.6155, grad_fn=<NllLossBackward>)
23   tensor(0.4985, grad_fn=<NllLossBackward>)
24   tensor(0.6995, grad_fn=<NllLossBackward>)
[8,    25] loss: 0.579
25   tensor(0.6368, grad_fn=<NllLossBackward>)
26   tensor(0.6437, grad_fn=<NllLossBackward>)
27   tensor(0.5385, grad_fn=<NllLossBackward>)
28   tensor(0.4833, grad_fn=<NllLossBackward>)
29   tensor(0.5147, grad_fn=<NllLossBackward>)
[8,    30] loss: 0.563
30   tensor(0.6004, grad_fn=<NllLossBackward>)
31   tensor(0.5573, grad_fn=<NllLossBackward>)
32   tensor(0.6022, grad_fn=<NllLossBackward>)
33   tensor(0.6679, grad_fn=<NllLossBackward>)
34   tensor(0.5794, grad_fn=<NllLossBackward>)
[8,    35] loss: 0.601
35   tensor(0.5440, grad_fn=<NllLossBackward>)
36   tensor(0.6478, grad_fn=<NllLossBackward>)
37   tensor(0.5520, grad_fn=<NllLossBackward>)
